,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,CC12CCCC1C1CCC3CC(O)CCC3(C)C1CC2,0,0,0,0,0,0,0,-1,-1,0,0
1,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](N=C([O-])[C@H](O)c3ccccc3)C(=O)N12.[Na+].[Na+],0,0,0,0,0,-1,0,0,0,0,0
2,CC(O)=N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+][C@H]1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,0,0,1,0,0,0,0,0,0,0,0
3,COc1cc(CN=C(O)CCCCC=CC(C)C)ccc1O,0,0,0,0,1,0,0,0,-1,0,0
4,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,0,0,0,0,-1,0,0,-1,1,0,0
5,N#Cc1cccnc1,0,0,0,0,0,0,0,-1,-1,0,0
6,c1ccc(CCN=c2[nH]c(-c3ccccc3)cs2)cc1,0,0,0,0,0,-1,0,0,-1,0,0
7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,0,0,0,0,0,1,1,0,0
8,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,-1,0,0,1,-1,0,1,-1,-1,0,0
9,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,0,0,0,0,0,0,0,0,-1,0,0
10,O=C(O)P(=O)(O)O,-1,0,0,1,0,0,0,-1,-1,0,0
11,CCCCCCCCCCCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0,0,0
12,CCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0,0,0,0,0,0,1,0,0,0,0
13,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,0,0,0,0,0,0,1,0,0,-1,0
